Name,Address,City,State,Zip,source,CISID,cluster_id,confidence
walmart sc imp 3609,2940 anvil block rd,ellenwood,ga,302942403,flna,2392721,111,0.977709949
walmart sc 2584,4375 lawrenceville hwy,tucker,ga,300843702,flna,1810997,112,0.977709949
walmart sc imp 2584,4375 lawrenceville hwy,tucker,ga,300843702,flna,1810998,112,0.977709949
walmart nm 3071,3201 tucker norcross rd,tucker,ga,300842150,flna,42072474,113,0.977709949
walmart nm imp 3071,3201 tucker norcross rd,tucker,ga,300842150,flna,42072476,113,0.977709949
walmart sc 2360,4725 ashford dunwoody rd,atlanta,ga,303385561,flna,1600755,114,0.977709949
walmart sc imp 2360,4725 ashford dunwoody rd,atlanta,ga,303385561,flna,1768852,114,0.977709949
walmart sc 3621,1871 chamblee tucker rd,chamblee,ga,303412737,flna,2258014,115,0.977709949
walmart sc imp 3621,1871 chamblee tucker rd,chamblee,ga,303412737,flna,2258015,115,0.977709949
walmart sc 4472,8424 mall pkwy,lithonia,ga,300382979,flna,42090436,116,0.977709949
walmart sc imp 4472,8424 mall pkwy,lithonia,ga,300382979,flna,42090437,116,0.977709949
walmart sc 3188,5935 memorial dr,stone mountain,ga,300833429,flna,42072484,117,0.977709949
walmart sc imp 3188,5935 memorial dr,stone mountain,ga,300833429,flna,42072486,117,0.977709949
walmart sc 3118,2525 n decatur rd,decatur,ga,300336126,flna,42188566,118,0.977709949
walmart sc imp 3118,2525 n decatur rd,decatur,ga,300336126,flna,42188567,118,0.977709949
chelsea food mart ci,16585 highway 280,chelsea,al,350438319,flna,1841011,119,0.409191895
chelsea shell,16851 highway 280,chelsea,al,350438311,flna,42171524,119,0.409191895
walmart sc 2713,5919 trussville crossings pkwy,birmingham,al,352358635,flna,1926277,120,0.977709949
walmart sc imp 2713,5919 trussville crossings pkwy,birmingham,al,352358635,flna,1926278,120,0.977709949
walmart sc 0762,9248 parkway e,birmingham,al,352061509,flna,193512,121,0.977709949
walmart sc imp 0762,9248 parkway e,birmingham,al,352061509,flna,1769700,121,0.977709949
walmart sc 3386,160 springville sta,springville,al,351466162,flna,2221570,122,0.977709949
walmart sc imp 3386,160 springville sta,springville,al,351466162,flna,2221571,122,0.977709949
walmart sc 0562,8551 whitfield ave,leeds,al,350947560,flna,163934,123,0.977709949
walmart sc imp 0562,8551 whitfield ave,leeds,al,350947560,flna,1770067,123,0.977709949
walmart sc 1711,1600 montclair rd,irondale,al,352102410,flna,1189452,124,0.977709949
walmart sc imp 1711,1600 montclair rd,irondale,al,352102410,flna,1769717,124,0.977709949
walmart sc 0764,750 academy dr,bessemer,al,350225200,flna,1599070,125,0.977709949
walmart sc imp 0764,750 academy dr,bessemer,al,350225200,flna,1770528,125,0.977709949
walmart sc 4497,1007 red farmer dr,hueytown,al,350231886,flna,2417579,126,0.977709949
